text,intent_name
"Tahap pendampingan Tugas Akhir dimulai setelah pendaftaran bimbingan dinyatakan diterima, yaitu sekitar 25 Agustus hingga Desember 2025 sesuai kalender akademik.",ta_bimbingan
Mahasiswa wajib mengikuti sesi konsultasi TA secara rutin bersama pembimbing hingga siap mengikuti sidang.,ta_bimbingan
"Laporan tugas akhir dikumpulkan paling lambat satu minggu sebelum jadwal sidang, sekitar awal Januari 2026.",ta_laporan
Mahasiswa wajib menyerahkan laporan akhir ke dosen pembimbing dan bagian akademik sebelum mengikuti sidang.,ta_laporan
"Sidang Tugas Akhir dijadwalkan pada 12 Januari–6 Februari 2026, sesuai kalender akademik.",pelaksanaan_sidang_ta
Daftar peserta dan pengumuman hasil sidang tersedia melalui portal akademik.,pelaksanaan_sidang_ta
"Pendaftaran wisuda dibuka pada 23 Februari hingga 13 Maret 2026, dan pelaksanaan wisuda dijadwalkan pada April 2026.",wisuda
"Yudisium mahasiswa dijadwalkan setelah pengolahan nilai UAS dan sebelum wisuda, yaitu pada akhir Februari 2026.",yudisium
Perkuliahan program pascasarjana semester gasal dimulai pada 6 Oktober 2025 dan berakhir pada 30 Januari 2026.,jadwal_kuliah_pasca
Mahasiswa S2 dan S3 mengikuti jadwal akademik yang telah dijadwalkan oleh fakultas pascasarjana.,jadwal_kuliah_pasca
"Ujian Tengah Semester (UTS) pascasarjana dilaksanakan pada 15–26 Desember 2025, sedangkan UAS dilaksanakan 2–13 Februari 2026.",ujian_pascasarjana_jadwal_semester
Mahasiswa program pascasarjana melaksanakan UTS dan UAS sesuai jadwal akademik yang ditentukan oleh Direktorat Pascasarjana.,ujian_pascasarjana_jadwal_semester
"Untuk jadwal lengkap ujian pascasarjana, silakan cek kalender akademik atau hubungi administrasi pascasarjana UBL ya.",ujian_pascasarjana_jadwal_semester
UTS dan UAS pascasarjana bisa dilaksanakan secara daring atau luring tergantung kebijakan fakultas.,ujian_pascasarjana_jadwal_semester
"Mahasiswa dapat mengikuti Tugas Akhir setelah memenuhi ketentuan akademik seperti jumlah SKS minimum, kelulusan mata kuliah prasyarat, dan penyelesaian KKP atau KKN.",eligibilitas_tugas_akhir
Pastikan seluruh persyaratan administratif dan akademik telah terpenuhi sebelum mengajukan Tugas Akhir sesuai ketentuan program studi.,eligibilitas_tugas_akhir
Pendaftaran Tugas Akhir dapat dilakukan mulai dari xxxxx,registrasi_tugas_akhir
"Syarat mengikuti KKP meliputi minimal 80 SKS, telah memenuhi mata kuliah prasyarat, dan mendapatkan persetujuan pembimbing akademik.",syarat_kkp
Mahasiswa harus menyiapkan tempat praktik yang disetujui prodi sebelum mendaftar KKP.,syarat_kkp
Syarat mengikuti KKN adalah mahasiswa minimal semester 6 dan sudah menempuh minimal 90 SKS.,kkn_persyaratan_umum
KKN dilaksanakan secara kelompok dan merupakan kegiatan wajib bagi mahasiswa S1 Universitas Budi Luhur.,kkn_persyaratan_umum
Mahasiswa dapat mengikuti KKN setelah memenuhi persyaratan akademik dan administrasi dari fakultas.,kkn_persyaratan_umum
KKN biasanya berlangsung selama satu bulan dan wajib membuat laporan akhir kegiatan.,kkn_persyaratan_umum
"Untuk informasi jadwal dan lokasi KKN, silakan lihat pengumuman di portal akademik atau hubungi bagian LPPM UBL.",kkn_persyaratan_umum
"Libur akademik antara semester gasal dan genap berlangsung dari 19 Januari hingga 1 Februari 2026, bertepatan dengan libur akhir semester dan cuti Tahun Baru.",libur_akademik
Selamat pagi! 🌞 Semoga harimu menyenangkan dan penuh semangat!,sapaan_pagi
Pagi juga! Jangan lupa sarapan ya 😄,sapaan_pagi
"Halo, selamat pagi! Ada yang bisa aku bantu hari ini?",sapaan_pagi
Pagi! Semangat mulai hari ini 💪,sapaan_pagi
Selamat siang! 🌤️ Semoga harimu lancar dan penuh energi!,sapaan_siang
Halo! Selamat siang 😄 udah makan siang belum?,sapaan_siang
Siang juga! Ada yang bisa aku bantu sekarang?,sapaan_siang
"Selamat siang, semoga aktivitas kamu menyenangkan!",sapaan_siang
Selamat sore! 🌇 Semoga hari kamu menyenangkan!,sapaan_sore
"Halo, sore juga! Udah beres semua aktivitas hari ini?",sapaan_sore
Selamat sore 😄 jangan lupa istirahat ya!,sapaan_sore
"Sore yang indah, ada yang bisa aku bantu?",sapaan_sore
Selamat malam 🌙 semoga hari kamu menyenangkan!,sapaan_malam
Malam juga! Waktunya istirahat dan recharge energi 💫,sapaan_malam
"Halo, selamat malam! Ada yang bisa aku bantu sebelum tidur?",sapaan_malam
Selamat malam 😄 semoga harimu berakhir dengan senyum!,sapaan_malam
"Halo! Aku asisten virtual Universitas Budi Luhur 🤖 Aku bisa bantu kamu cari informasi seputar akademik, jadwal, dan layanan kampus.",perkenalan
"Hai! Aku chatbot UBL, siap bantu kamu cari info tentang kuliah, jadwal, dan kegiatan kampus 💙",perkenalan
"Perkenalkan, aku asisten cerdas Universitas Budi Luhur. Mau tanya tentang apa hari ini?",perkenalan
"Aku chatbot UBL, siap bantuin kamu kapan aja!",perkenalan
Halo! 👋 Senang bisa ngobrol sama kamu. Ada yang bisa aku bantu?,sapaan
Hai juga! 😊 Apa kabar hari ini?,sapaan
Halo! Aku siap bantu kamu cari info seputar Universitas Budi Luhur 💙,sapaan
Hai! Selamat datang di chatbot UBL. Mau tanya apa nih?,sapaan
"Halo, senang kamu datang lagi! 🎓",sapaan
