text,intent_name
Apakah sudah ada jadwal resmi pendaftaran mahasiswa baru?,registrasi_mahasiswa_baru
Ingin menanyakan batas waktu registrasi mahasiswa baru.,registrasi_mahasiswa_baru
Apakah masa registrasi mahasiswa baru sudah dimulai?,registrasi_mahasiswa_baru
Maba daftar kapan ya kira-kira?,registrasi_mahasiswa_baru
"Bang, pendaftaran UBL mulai kapan sih?",registrasi_mahasiswa_baru
"Min, registrasi maba udah open belum?",registrasi_mahasiswa_baru
Daftar kampus mulai kapan ya bang?,registrasi_mahasiswa_baru
Kapan bisa mulai daftar kuliah di UBL?,registrasi_mahasiswa_baru
Registrasi maba open atau masih close nih?,registrasi_mahasiswa_baru
Kapan pendaftaran gelombang satu dibuka?,registrasi_mahasiswa_baru
Kapan jadwal daftar ulang buat maba?,registrasi_mahasiswa_baru
Daftar kampus offline bisa kapan?,registrasi_mahasiswa_baru
Pendaftaran masih buka apa udah tutup?,registrasi_mahasiswa_baru
"Bang, besok-besok masih bisa daftar maba nggak?",registrasi_mahasiswa_baru
Gelombang pendaftaran maba sampai kapan cuy?,registrasi_mahasiswa_baru
Gas daftar kampus mulai tanggal berapa?,registrasi_mahasiswa_baru
Udah open regis belum nih?,registrasi_mahasiswa_baru
Daftar kuliah sekarang udah boleh kah?,registrasi_mahasiswa_baru
"Regis maba kapan woi, mau langsung hajar daftar.",registrasi_mahasiswa_baru
"Min, kapan nih open maba???",registrasi_mahasiswa_baru
Kapan gua bisa daftar jadi anak UBL?,registrasi_mahasiswa_baru
Regis maba buka gak minggu ini?,registrasi_mahasiswa_baru
Kapan sih terakhir banget daftar jadi mahasiswa baru?,registrasi_mahasiswa_baru
Kapan jadwal pengisian rencana studi (KRS) untuk mahasiswa?,pengisian_krs
Mohon info kapan pengisian KRS dimulai dan berakhir.,pengisian_krs
Kapan mahasiswa bisa mengisi KRS online di portal?,pengisian_krs
Isi KRS mulai kapan ya?,pengisian_krs
Kapan bisa isi KRS?,pengisian_krs
Kapan waktu pengisian KRS di web student?,pengisian_krs
Boleh tahu jadwal KRS semester gasal?,pengisian_krs
Kapan periode pengisian KRS dibuka?,pengisian_krs
Kapan mahasiswa bisa akses KRS di sistem?,pengisian_krs
Kapan waktu konsultasi KRS dengan dosen PA?,pengisian_krs
Apakah KRS sudah bisa diisi minggu ini?,pengisian_krs
Kalau mau isi KRS kapan waktunya?,pengisian_krs
Isi KRS di portal mulai tanggal berapa?,pengisian_krs
KRS semester ini dibuka kapan ya?,pengisian_krs
Kapan batas akhir pengisian KRS?,pengisian_krs
KRS-nya buka tanggal berapa?,pengisian_krs
KRS online sudah aktif belum?,pengisian_krs
Kapan dosen PA bisa acc KRS?,pengisian_krs
Kapan waktu KRS manual di kampus?,pengisian_krs
"Saya lupa isi KRS, masih bisa gak ya?",pengisian_krs
Mohon informasi jadwal resmi pengisian KRS mahasiswa aktif.,pengisian_krs
Apakah sudah ada pengumuman periode KRS semester ini?,pengisian_krs
Tolong beri informasi kapan mahasiswa bisa melakukan KRS.,pengisian_krs
Pada tanggal berapa KRS semester depan dapat diakses?,pengisian_krs
Kapan masa konsultasi dan pengajuan KRS dibuka?,pengisian_krs
Bisakah diinformasikan jadwal KRS terbaru sesuai kalender akademik?,pengisian_krs
"Bang, KRS udah buka belum?",pengisian_krs
"Min, KRS bisa diisi mulai kapan ya?",pengisian_krs
KRS semester baru dibuka kapan bang?,pengisian_krs
Portal KRS udah ready belum cuy?,pengisian_krs
Sistem KRS udah bisa dibuka belum sih?,pengisian_krs
KRS kapan close ya?,pengisian_krs
Pengisian KRS open nggak hari ini?,pengisian_krs
KRS offline di kampus mulai kapan?,pengisian_krs
Jadwal KRS ada update terbaru nggak?,pengisian_krs
Pengisian KRS udah on atau masih off?,pengisian_krs
"Woi, KRS buka kapan anjir?",pengisian_krs
KRSnya kapan nih? Mau buru-buru ambil kelas.,pengisian_krs
Eh KRS udah open kah?,pengisian_krs
Kapan gue bisa input matkul nih?,pengisian_krs
Acc PA kapan bisa?,pengisian_krs
"Bang, kalau telat isi KRS masih bisa masukin gak?",pengisian_krs
KRS minggu ini udah bisa gas belum?,pengisian_krs
Bagaimana prosedur resmi untuk mengisi KRS di sistem akademik?,panduan_pengisian_krs
Mohon panduan langkah-langkah pengisian KRS pada portal mahasiswa.,panduan_pengisian_krs
Bisakah diberikan tata cara pengisian KRS secara lengkap?,panduan_pengisian_krs
Saya membutuhkan instruksi resmi terkait cara melakukan pengisian KRS.,panduan_pengisian_krs
Bagaimana mekanisme pengisian KRS untuk mahasiswa aktif?,panduan_pengisian_krs
Bisa dijelaskan cara mengisi KRS di web student?,panduan_pengisian_krs
"Saya ingin tahu langkah-langkah mengisi KRS, bagaimana caranya?",panduan_pengisian_krs
Gimana alur pengisian KRS di portal kampus?,panduan_pengisian_krs
Ada panduan cara isi KRS gak?,panduan_pengisian_krs
Bagaimana cara melakukan input mata kuliah ke KRS?,panduan_pengisian_krs
Cara isi KRS gimana ya?,panduan_pengisian_krs
Step by step isi KRS dong.,panduan_pengisian_krs
Gimana sih ngisi KRS di sistem?,panduan_pengisian_krs
"Aku bingung isi KRS, caranya gimana?",panduan_pengisian_krs
Tolong ajarin cara isi KRS.,panduan_pengisian_krs
"Bro, cara ngisi KRS gimana woy?",panduan_pengisian_krs
Ngisi KRS tuh mesti ngapain aja sih?,panduan_pengisian_krs
"Ajarin isi KRS dong, gue lupa caranya.",panduan_pengisian_krs
"KRS ngisinya gimana nih, pusing gua.",panduan_pengisian_krs
"Gw mau isi KRS tapi gak ngerti, tolong dong.",panduan_pengisian_krs
Tolong sampaikan prosedur pengisian KRS sesuai pedoman akademik.,panduan_pengisian_krs
Apa saja tahapan yang harus dilakukan untuk mengisi KRS online?,panduan_pengisian_krs
Mohon dijelaskan tata cara KRS di portal mahasiswa baru.,panduan_pengisian_krs
Bagaimana langkah-langkah memilih mata kuliah di KRS?,panduan_pengisian_krs
Bisa berikan tutorial resmi pengisian KRS?,panduan_pengisian_krs
Saya ingin tahu alur input KRS mulai dari login hingga submit.,panduan_pengisian_krs
"Bang, gimana sih cara isi KRS?",panduan_pengisian_krs
"Min, gue bingung isi KRS, tolong jelasin dong.",panduan_pengisian_krs
KRS itu ngisinya dari mana dulu?,panduan_pengisian_krs
Gimana cara nambahin matkul di KRS?,panduan_pengisian_krs
Isi KRS lewat menu apa ya di portal?,panduan_pengisian_krs
Cara submit KRS setelah pilih matkul gimana?,panduan_pengisian_krs
KRS mesti acc PA dulu atau gimana?,panduan_pengisian_krs
Cara hapus matkul di KRS gimana bang?,panduan_pengisian_krs
Pilih matkul di KRS step-stepnya apa aja?,panduan_pengisian_krs
Woi gimana cara isi KRS wkwk?,panduan_pengisian_krs
Ajari gue isi KRS dong plis.,panduan_pengisian_krs
"Ngisi KRS ribet sumpah, gimana sih caranya?",panduan_pengisian_krs
Cara isi KRS yang bener gimana? Takut salah cuy.,panduan_pengisian_krs
Bang jelasin isi KRS dari A sampai Z dong.,panduan_pengisian_krs
Cara submit final KRS gimana woy?,panduan_pengisian_krs
Kapan mahasiswa boleh mengajukan tinjauan nilai semester ini?,tinjauan_nilai
Mohon info jadwal resmi pengajuan peninjauan nilai.,tinjauan_nilai
Kapan periode tinjauan nilai dibuka dan ditutup?,tinjauan_nilai
Tinjauan nilai untuk semester gasal dimulai tanggal berapa?,tinjauan_nilai
"Saya ingin cek jadwal pengajuan review nilai, apakah sudah keluar?",tinjauan_nilai
Kapan batas akhir mengajukan peninjauan nilai mata kuliah?,tinjauan_nilai
Ada jadwal untuk minta telaah ulang nilai UAS?,tinjauan_nilai
Tinjauan hasil studi bisa diajukan sampai kapan ya?,tinjauan_nilai
Kapan waktu yang diperbolehkan untuk mengajukan telaah nilai?,tinjauan_nilai
Kapan mahasiswa dapat meminta koreksi nilai secara resmi?,tinjauan_nilai
Pengajuan review nilai dibuka tanggal berapa?,tinjauan_nilai
"Bang, review nilai buka kapan ya?",tinjauan_nilai
"Kak, mau tanya jadwal tinjauan nilai dong?",tinjauan_nilai
Kapan bisa minta dosen cek ulang nilai UAS?,tinjauan_nilai
Periode tinjauan nilai itu tanggal berapa aja sih?,tinjauan_nilai
Kapan mahasiswa boleh komplain atau minta perbaikan nilai?,tinjauan_nilai
Review nilai semester ini jadwalnya kapan ya?,tinjauan_nilai
"Kalau mau tinjau nilai, mulainya tanggal berapa?",tinjauan_nilai
Kapan layanan peninjauan nilai aktif?,tinjauan_nilai
Pengajuan koreksi nilai semester ini dibuka belum?,tinjauan_nilai
Tinjauan nilai yang resmi dari kampus itu pas tanggal berapa?,tinjauan_nilai
Mohon diinformasikan periode resmi pengajuan tinjauan nilai.,tinjauan_nilai
Bisakah saya mengetahui kapan mahasiswa bisa meminta peninjauan nilai?,tinjauan_nilai
Tolong sampaikan jadwal peninjauan nilai sesuai kalender akademik.,tinjauan_nilai
Kapan layanan revisi nilai tersedia untuk mahasiswa?,tinjauan_nilai
Apakah sudah ada tanggal resmi untuk mengajukan koreksi nilai?,tinjauan_nilai
"Bang, kapan gue bisa review nilai?",tinjauan_nilai
"Min, nilai bisa ditinjau kapan ya?",tinjauan_nilai
Review nilai buka tanggal berapa bro?,tinjauan_nilai
Tinjau nilai udah bisa belum?,tinjauan_nilai
"Gue mau minta cek ulang nilai, kapan boleh?",tinjauan_nilai
Koreksi nilai buka kapan ya min?,tinjauan_nilai
"Kalau mau komplain nilai, jadwalnya kapan?",tinjauan_nilai
"Bro, kapan bisa protes nilai?",tinjauan_nilai
"Woi, review nilai kapan sih?",tinjauan_nilai
"Bang, mau naikin nilai nih, buka kapan review wkwk?",tinjauan_nilai
"Nilai dosen kayaknya salah, kapan bisa minta tinjau?",tinjauan_nilai
Tinjauan nilai open kapan cuy?,tinjauan_nilai
Boleh tinjau nilai kapan aja apa ada jadwalnya?,tinjauan_nilai
Bang kapan bisa kirim form tinjauan nilai?,tinjauan_nilai
Di mana saya dapat melihat rincian biaya wisuda secara resmi?,pembayaran_wisuda
Mohon informasi mengenai besaran biaya wisuda tahun ini.,pembayaran_wisuda
Apa saja komponen biaya yang perlu dibayarkan untuk mengikuti wisuda?,pembayaran_wisuda
Bagaimana mekanisme pembayaran wisuda sesuai ketentuan kampus?,pembayaran_wisuda
Kapan tanggal jatuh tempo pembayaran wisuda periode ini?,pembayaran_wisuda
Apakah pembayaran wisuda dilakukan melalui virtual account?,pembayaran_wisuda
Berapa biaya administrasi wisuda untuk semester berjalan?,pembayaran_wisuda
Kapan kampus membuka periode pembayaran wisuda?,pembayaran_wisuda
Bagaimana cara melakukan pelunasan biaya wisuda?,pembayaran_wisuda
Apakah terdapat denda apabila terlambat membayar biaya wisuda?,pembayaran_wisuda
Kepada siapa saya harus konfirmasi setelah menyelesaikan pembayaran wisuda?,pembayaran_wisuda
Apakah bukti pembayaran wisuda perlu diunggah di sistem?,pembayaran_wisuda
Dimana saya bisa melihat instruksi pembayaran wisuda?,pembayaran_wisuda
"Jika belum membayar, apakah masih dapat mengikuti wisuda tahun ini?",pembayaran_wisuda
Pembayaran wisuda menggunakan bank apa?,pembayaran_wisuda
Kapan batas akhir melunasi pembayaran wisuda?,pembayaran_wisuda
Transfer pembayaran wisuda dilakukan ke rekening apa?,pembayaran_wisuda
Apakah pembayaran wisuda tersedia melalui mobile banking?,pembayaran_wisuda
Apakah biaya wisuda sudah termasuk toga dan atribut?,pembayaran_wisuda
Kapan invoice pembayaran wisuda muncul di portal?,pembayaran_wisuda
Apakah uang wisuda bisa dicicil?,pembayaran_wisuda
Bagaimana prosedur pelunasan biaya wisuda secara online?,pembayaran_wisuda
Apakah slip pembayaran wisuda diserahkan langsung ke akademik?,pembayaran_wisuda
Adakah panduan pembayaran wisuda dari kampus?,pembayaran_wisuda
"Jika pembayaran terlambat 1 hari, apakah masih diperbolehkan?",pembayaran_wisuda
Apakah biaya wisuda berbeda untuk program S1 dan D3?,pembayaran_wisuda
"Saya ingin tahu biaya wisuda terbaru, bisa dibantu?",pembayaran_wisuda
Cara bayar wisuda lewat VA gimana ya?,pembayaran_wisuda
VA pembayaran wisuda muncul di menu mana?,pembayaran_wisuda
"Kalau VA tidak muncul, harus hubungi siapa?",pembayaran_wisuda
Boleh tanya deadline pembayaran wisuda kapan?,pembayaran_wisuda
Pembayaran wisuda udah kebuka atau belum ya?,pembayaran_wisuda
Wisuda bayar dulu atau setelah submit berkas?,pembayaran_wisuda
"Bang, biaya wisuda sekarang berapa sih?",pembayaran_wisuda
"Kak, mau bayar wisuda lewat apa ya?",pembayaran_wisuda
Gimana cara tahu sudah lunas atau belum biaya wisuda?,pembayaran_wisuda
Tolong info pembayaran wisuda dong.,pembayaran_wisuda
"Kalau ga bayar wisuda, masih bisa ikut gak?",pembayaran_wisuda
Wisuda itu bayar sekalian daftar atau beda ya?,pembayaran_wisuda
Cara cek biaya wisuda di portal gimana?,pembayaran_wisuda
Pembayaran wisuda udah jatuh tempo belum sih?,pembayaran_wisuda
Cara bayar wisuda lewat ATM bisa?,pembayaran_wisuda
"Bang, VA wisuda gue belum muncul, itu kenapa ya?",pembayaran_wisuda
Biaya wisuda ada perubahan gak tahun ini?,pembayaran_wisuda
Deadline bayar wisuda udah mepet belum?,pembayaran_wisuda
"Bro, cara settle payment wisuda gimana?",pembayaran_wisuda
Wisuda bisa bayar pake mobile banking ga?,pembayaran_wisuda
Biaya wisuda udah keluar belum di portal?,pembayaran_wisuda
Kapan kampus buka pembayaran wisuda periode ini?,pembayaran_wisuda
"Bang, bayar wisuda lewat bank apa ya?",pembayaran_wisuda
Kapan tanggal jatuh tempo pembayaran angsuran kuliah semester ini?,angsuran_perkuliahan
Bagaimana prosedur pembayaran angsuran biaya perkuliahan?,angsuran_perkuliahan
Apakah kampus menyediakan sistem cicilan biaya kuliah?,angsuran_perkuliahan
Di mana saya dapat melihat jadwal angsuran?,angsuran_perkuliahan
Angsuran tahap kedua jatuh tempo pada tanggal berapa?,angsuran_perkuliahan
Bagaimana cara melakukan pembayaran angsuran melalui virtual account?,angsuran_perkuliahan
Apakah ada denda untuk keterlambatan pembayaran angsuran kuliah?,angsuran_perkuliahan
Di mana melihat nominal angsuran yang harus dibayarkan?,angsuran_perkuliahan
Bagaimana cara mencicil biaya pendidikan per semester?,angsuran_perkuliahan
Kapan invoice angsuran muncul di portal?,angsuran_perkuliahan
Apakah pembayaran angsuran dapat dilakukan melalui mobile banking?,angsuran_perkuliahan
Bisakah angsuran kuliah dibayar menggunakan ATM?,angsuran_perkuliahan
Bagaimana cara mengetahui angsuran sudah lunas atau belum?,angsuran_perkuliahan
Apakah ada mekanisme pengajuan keringanan angsuran?,angsuran_perkuliahan
"Jika telat membayar angsuran, apa konsekuensinya?",angsuran_perkuliahan
Bagaimana cara cetak slip angsuran kuliah?,angsuran_perkuliahan
Kampus menyediakan angsuran berapa kali dalam satu semester?,angsuran_perkuliahan
Apakah angsuran dilakukan per tahap atau per bulan?,angsuran_perkuliahan
Bisakah meminta penjadwalan ulang angsuran?,angsuran_perkuliahan
Tagihan angsuran muncul di menu mana?,angsuran_perkuliahan
"Bang, angsuran kuliah jatuh tempo kapan ya?",angsuran_perkuliahan
"Kak, cicilan kuliah udah bisa dibayar belum?",angsuran_perkuliahan
Nominal angsuran itu fix atau bisa berubah?,angsuran_perkuliahan
"Gue mau bayar angsuran, tapi VA-nya belum nongol.",angsuran_perkuliahan
Angsuran lewat mobile banking bisa atau nggak?,angsuran_perkuliahan
"Chill, angsuran kuliah harus bayar duluan atau nanti?",angsuran_perkuliahan
"Bang, kalau telat bayar kena apa ya?",angsuran_perkuliahan
"Tagihan angsuran kok gak muncul di portal, kenapa?",angsuran_perkuliahan
Angsuran tahap berikutnya kapan keluar?,angsuran_perkuliahan
Cicilan ini kudu dibayar sebelum UTS atau sesudah?,angsuran_perkuliahan
Gimana cara cek tagihan angsuran?,angsuran_perkuliahan
"Bang, angsuran keluar jam berapa biasanya?",angsuran_perkuliahan
"Boleh tanya, angsuran ini udah dibuka belom?",angsuran_perkuliahan
Apakah angsuran bisa dibayar sebelum invoice muncul?,angsuran_perkuliahan
Cara bayar angsuran lewat VA gimana?,angsuran_perkuliahan
"Kalo VA-nya error, harus ke siapa?",angsuran_perkuliahan
"Bro, angsuran tahap 1 sampai kapan?",angsuran_perkuliahan
KRS bisa keblokir kalau angsuran belum lunas?,angsuran_perkuliahan
Perlu upload bukti pembayaran angsuran ga?,angsuran_perkuliahan
Angsuran kuliah bisa dicicil lagi ga?,angsuran_perkuliahan
Nunggak angsuran boleh sampai kapan?,angsuran_perkuliahan
Cek riwayat pembayaran angsuran dimana?,angsuran_perkuliahan
Keuangan buka jam berapa untuk konfirmasi angsuran?,angsuran_perkuliahan
"Bang, nominal angsuran gue beda, itu kenapa?",angsuran_perkuliahan
"Invoice angsuran belum muncul, harus nunggu apa?",angsuran_perkuliahan
Kapan campus release tagihan cicilan?,angsuran_perkuliahan
Biaya angsuran keluar tiap kapan sih?,angsuran_perkuliahan
Cicilan kuliah tahap 3 jadwalnya kapan?,angsuran_perkuliahan
Pembayaran angsuran semester ini udah bisa belum?,angsuran_perkuliahan
"Kalo telat bayar sehari, masih aman gak?",angsuran_perkuliahan
Bagaimana prosedur resmi untuk memperbarui biodata mahasiswa di portal akademik?,pemutakhiran_biodata
Saya ingin mengetahui langkah-langkah pembaruan data pribadi di sistem kampus.,pemutakhiran_biodata
Di mana lokasi menu untuk melakukan pembaruan biodata mahasiswa?,pemutakhiran_biodata
Apakah perubahan informasi pribadi dapat dilakukan secara mandiri di portal?,pemutakhiran_biodata
Apa saja dokumen yang diperlukan untuk melakukan koreksi data pribadi?,pemutakhiran_biodata
"Jika terdapat kesalahan data di sistem akademik, bagaimana langkah perbaikannya?",pemutakhiran_biodata
Kapan periode pemutakhiran biodata mahasiswa biasanya dibuka?,pemutakhiran_biodata
Apakah pembaruan nomor HP dan email dapat dilakukan langsung oleh mahasiswa?,pemutakhiran_biodata
Bagaimana cara memperbarui alamat domisili pada data mahasiswa?,pemutakhiran_biodata
Apakah perubahan biodata perlu diverifikasi oleh bagian akademik?,pemutakhiran_biodata
Di mana saya dapat menemukan formulir pembaruan data mahasiswa?,pemutakhiran_biodata
Perubahan tanggal lahir dilakukan melalui siapa?,pemutakhiran_biodata
Bagaimana cara melakukan revisi identitas pribadi pada web student?,pemutakhiran_biodata
Apakah nama mahasiswa dapat diperbaiki langsung di sistem atau harus ke akademik?,pemutakhiran_biodata
Informasi mana saja yang bisa saya ubah secara mandiri?,pemutakhiran_biodata
Bagaimana proses sinkronisasi data setelah pembaruan?,pemutakhiran_biodata
"Jika email student ingin diganti, apakah bisa langsung dilakukan?",pemutakhiran_biodata
Apakah pembaruan data membutuhkan persetujuan fakultas?,pemutakhiran_biodata
"Saya ingin mengubah kontak darurat, bagaimana caranya?",pemutakhiran_biodata
Apa yang harus dilakukan jika data tidak dapat diubah di portal?,pemutakhiran_biodata
"Kak, mau tanya cara update biodata di web student gimana ya?",pemutakhiran_biodata
"Bang, nomor HP gue salah, cara benerinnya gimana?",pemutakhiran_biodata
"Alamat gue berubah nih, update-nya di menu mana?",pemutakhiran_biodata
Kok data gue ga bisa diubah ya? Ada cara lain kah?,pemutakhiran_biodata
Kalo mau ganti email harus ke akademik dulu ya?,pemutakhiran_biodata
"NIM gue salah input digitnya, itu bisa diganti nggak?",pemutakhiran_biodata
Mau update data pribadi tapi menu-nya nggak muncul.,pemutakhiran_biodata
"Bang, biodata gue salah satu huruf, gimana tuh?",pemutakhiran_biodata
Ada form update biodata gak di portal?,pemutakhiran_biodata
"Gue mau koreksi data, step-nya apa aja?",pemutakhiran_biodata
"KTP gue baru, mau sinkronin ke biodata kampus gimana?",pemutakhiran_biodata
"Kalo tanggal lahir salah, lapornya ke siapa?",pemutakhiran_biodata
"Nama gue typo di sistem, boleh dibenerin?",pemutakhiran_biodata
Cara ubah foto profil mahasiswa gimana?,pemutakhiran_biodata
"Data gue ga sesuai KHS, itu kenapa ya?",pemutakhiran_biodata
Mau revisi biodata tapi sistem error.,pemutakhiran_biodata
"Bang, mau ubah alamat domisili bisa ga sih?",pemutakhiran_biodata
"Bro, biodata gue ngaco, harus kontak siapa?",pemutakhiran_biodata
Kok biodata gue beda sama KK? Cara benerinnya gimana?,pemutakhiran_biodata
"Data mahasiswa ada yang kurang, gimana nambahinnya?",pemutakhiran_biodata
"Menu edit profil gak muncul, itu wajar ga?",pemutakhiran_biodata
Kalo mau update data mesti datang ke kampus?,pemutakhiran_biodata
Nambahin nomor HP bisa lewat mana?,pemutakhiran_biodata
Sinkronisasi data setelah update perlu waktu berapa lama?,pemutakhiran_biodata
Boleh minta cara update email student?,pemutakhiran_biodata
Data gue belum update padahal udah gue save.,pemutakhiran_biodata
Gimana cara update nomor WA di portal?,pemutakhiran_biodata
"Kalo salah masukin data, boleh reset gak?",pemutakhiran_biodata
Biodata kok belum ke-update ya? Harus tunggu berapa lama?,pemutakhiran_biodata
Bagaimana cara mengetahui siapa Dosen Pembimbing Akademik saya?,informasi_dosen_pa
Di mana menu untuk melihat daftar DPA pada sistem akademik?,informasi_dosen_pa
Apakah daftar PA sudah diperbarui oleh program studi untuk semester ini?,informasi_dosen_pa
Bagaimana mekanisme konsultasi dengan Dosen PA terkait rencana studi?,informasi_dosen_pa
Siapa dosen yang ditugaskan menjadi PA saya untuk semester berjalan?,informasi_dosen_pa
Apa saja yang biasanya dibahas dalam sesi konsultasi dengan DPA?,informasi_dosen_pa
Apakah Dosen PA ditentukan secara otomatis oleh program studi?,informasi_dosen_pa
Kapan mahasiswa dapat mulai berkonsultasi dengan PA?,informasi_dosen_pa
Bagaimana cara menghubungi PA untuk konsultasi akademik?,informasi_dosen_pa
"Jika PA belum muncul di sistem, apa yang harus dilakukan?",informasi_dosen_pa
Apakah perlu membuat janji sebelum bertemu Dosen PA?,informasi_dosen_pa
Bagaimana cara mengetahui jadwal konsultasi Dosen PA?,informasi_dosen_pa
"Untuk penyusunan KRS, saya harus berkonsultasi dengan PA siapa?",informasi_dosen_pa
"Jika saya ingin meminta arahan studi, apakah langsung ke PA?",informasi_dosen_pa
Di mana melihat informasi PA pada portal mahasiswa?,informasi_dosen_pa
Apakah setiap mahasiswa memiliki PA yang berbeda?,informasi_dosen_pa
Bagaimana proses penetapan PA setiap semester?,informasi_dosen_pa
Siapa yang harus saya hubungi jika PA tidak responsif?,informasi_dosen_pa
"Kok PA saya belum muncul, apa itu normal?",informasi_dosen_pa
Apakah konsultasi dengan PA wajib untuk pengisian KRS?,informasi_dosen_pa
"Bang, PA gue siapa ya? Ga muncul di portal.",informasi_dosen_pa
"Kak, cara cek DPA di sistem gimana?",informasi_dosen_pa
"Gue belum tau PA gue siapa, ceknya di mana?",informasi_dosen_pa
"DPA gue ga muncul-muncul, harus nunggu ya?",informasi_dosen_pa
"Bang, mau konsultasi PA harus janjian dulu?",informasi_dosen_pa
PA biasanya balas chat cepat atau harus email?,informasi_dosen_pa
Dimana sih menu buat liat PA?,informasi_dosen_pa
PA gue kok ganti ya? Itu normal?,informasi_dosen_pa
"Kalau mau minta tanda tangan PA, ketemunya di mana?",informasi_dosen_pa
"Boleh tanya, PA ini satu orang per mahasiswa ya?",informasi_dosen_pa
"Bang, jadwal konsultasi PA kapan sih?",informasi_dosen_pa
"Kalo PA ga balas chat, ke akademik aja?",informasi_dosen_pa
DPA ini wajib dicek saat KRS ya?,informasi_dosen_pa
Nama PA ada di menu apa sih bang?,informasi_dosen_pa
Gimana cara tau PA buat semester depan?,informasi_dosen_pa
PA itu ditentukan dari prodi atau otomatis sistem?,informasi_dosen_pa
Kalau salah PA gimana?,informasi_dosen_pa
"PA gue cuti, harus ke siapa?",informasi_dosen_pa
"Bang, PA responnya lama, ada opsi lain?",informasi_dosen_pa
Kok PA gue beda sama temen gue?,informasi_dosen_pa
"Kak, PA bisa diganti ga sih?",informasi_dosen_pa
Cara minta saran pemilihan matkul ke PA gimana?,informasi_dosen_pa
Semua masalah akademik harus lewat PA?,informasi_dosen_pa
PA gue belum update data di sistem.,informasi_dosen_pa
"PA hilang dari portal, itu kenapa?",informasi_dosen_pa
Cara hubungi dosen PA lewat email ada di mana?,informasi_dosen_pa
"Bang, PA gue siapa ya? Lupa.",informasi_dosen_pa
PA bisa bantu masalah selain KRS ga?,informasi_dosen_pa
Konsultasi PA mesti offline atau online?,informasi_dosen_pa
Bagaimana prosedur resmi untuk mengurus KTM yang hilang?,ktm_hilang
"Jika kartu mahasiswa hilang, langkah apa yang harus dilakukan?",ktm_hilang
Di mana pengajuan penggantian KTM dapat dilakukan?,ktm_hilang
Apakah diperlukan surat kehilangan untuk mengganti KTM?,ktm_hilang
Berapa lama proses penerbitan KTM baru?,ktm_hilang
Dokumen apa yang dibutuhkan untuk mengurus penggantian KTM?,ktm_hilang
Kepada siapa saya harus melapor jika KTM hilang?,ktm_hilang
Apakah penggantian KTM dikenakan biaya?,ktm_hilang
Bagaimana cara menonaktifkan KTM yang hilang?,ktm_hilang
"Jika KTM rusak, apakah prosedurnya sama dengan kehilangan?",ktm_hilang
Apakah pengajuan penggantian KTM bisa dilakukan secara online?,ktm_hilang
"Jika KTM jatuh dan hilang, apa prosedurnya?",ktm_hilang
Apakah perlu membawa KTP untuk mengurus KTM baru?,ktm_hilang
Di mana lokasi bagian administrasi untuk penggantian KTM?,ktm_hilang
Berapa lama proses verifikasi pengajuan KTM hilang?,ktm_hilang
Apakah KTM pengganti bisa diambil di hari yang sama?,ktm_hilang
